# Cosmic Chronometers — compilation Moresco 2012/2015/2016/2022
# Misure indirette di H(z) da galassie ellittiche passive.
# 32 punti, z in [0.07, 1.965]
# Riferimenti:
#   Moresco et al. 2012, JCAP 08, 006  (arXiv:1201.3609)
#   Moresco et al. 2015, MNRAS 450, L16  (arXiv:1503.01116)
#   Moresco et al. 2016, JCAP 05, 014  (arXiv:1601.01701)
#   Moresco et al. 2022, Living Reviews in Relativity 25:6
# Errore riportato: statistico + sistematico sommati in quadratura (simmetrici, diagonali).
#
# colonne: z, H(z) [km/s/Mpc], sigma_H [km/s/Mpc]
#
# z       H        sigma_H
0.0700  69.0     19.6
0.0900  69.0     12.0
0.1200  68.6     26.2
0.1700  83.0      8.0
0.1791  75.0      4.0
0.1993  75.0      5.0
0.2000  72.9     29.6
0.2700  77.0     14.0
0.2800  88.8     36.6
0.3519  83.0     14.0
0.3802  83.0     13.5
0.4000  95.0     17.0
0.4004  77.0     10.2
0.4247  87.1     11.2
0.4497  92.8     12.9
0.4700  89.0     49.6
0.4783  80.9      9.0
0.4800  97.0     62.0
0.5930 104.0     13.0
0.6800  92.0      8.0
0.7500  98.8     33.6
0.7810 105.0     12.0
0.8750 125.0     17.0
0.8800  90.0     40.0
0.9000 117.0     23.0
1.0370 154.0     20.0
1.3000 168.0     17.0
1.3630 160.0     33.6
1.4300 177.0     18.0
1.5300 140.0     14.0
1.7500 202.0     40.0
1.9650 186.5     50.4
